있다	To be
생각되다	To come to think sth
생각하다	To think
자랑하다	To be proud
노래하다	To sing
말씀하다	Speak
못하다	Be impossible
미워하다	Dislike
부러워하다	envy,be envious of
비롯하다	begin,start
사랑하다	To love
수고하다	To work hard
손질하다	Handle with care
싫어하다	To dislike, be reluctant (to do)
얘기하다	To tell a story
이야기하다	To talk
일하다	To work, labor
잘못하다	To make a mistake
잘하다	To do well
좋아하다	To like, be fond of
함께하다	To do it together, with somebody
기뻐하다	радоваться (обрадоваться) кому-чему
마련되다	To be planned and arranged
마련하다	подготавливать; приготавливать; готовить;
그리워하다	Yearn or  be attached to
척하다	притворяться; делать вид; симулировать
체하다	pretend,feign
만하다	такой же, как; величиной с ...
뻔하다	Be clear,evident
아니하다	To be/do not
어떡하다	To take some measures, to manage somehow 어떠하게 하다
가까워지다	Get closer
길어지다	To become long
어두워지다	become/get dark
어려워지다	To become difficult
깨끗해지다	Become clean
나빠지다	To become worse
나아지다	Become better, be improved
낮아지다	Become lower
더러워지다	Get dirty
넓어지다	Get wider
높아지다	Become high
늘어지다	Be lengthened
늦어지다	To become late
굳어지다	Become hard
싶어지다	To come to want
멀어지다	Become distant to
미끄러지다	скользить; поскользнуться; проваливаться
작아지다	Become smaller
적어지다	To become smaller
좋아지다	To become better
짧아지다	To become short
커지다	To become bigger
많아지다	Become a lot
싫어지다	To become distasteful
책임지다	Take responsibility
생각나다	вспоминаться; приходить в голову
